ngram	prophate
Ο Αλλάχ είναι ο μεγαλύτερος 	0.87
μαύροι 	0.583
Κινέζος 	0.467
χιγκς 	0.542
αναχώματα 	0.602
πούστης 	0.489
σκατά 	0.675
σκατά 	0.5429999999999999
ομοφυλόφιλος 	0.667
έμφυτος 	0.583
αράπης 	0.584
ψαράδες 	0.672
ουρές 	0.5
βιασμός 	0.7170000000000001
άγριοι 	0.778
δούλος 	0.667
πικάντικο 	0.75
υγρασία 	0.667
υγρασίες 	0.688
λευκά 	0.556
ένας βρώμικος ψεύτης 	0.743
όλοι οι γουργούρες 	
Ολα ασπρα 	0.509
πάντα σκατά 	0.8590000000000001
λευκό 	0.75
να σκοτωθεί 	0.556
νίκησε τον 	0.542
ο μεγαλύτερος φίλος 	0.5710000000000001
κατηγορώ το 	0.575
άσχημο 	0.667
τσίμπημα 	0.5329999999999999
τσακίζει μέσα 	0.5
σκατά 	0.667
χαζή μαϊμού 	0.556
χαζός ψαράς 	0.667
fag και 	0.667
φανταχτερά αλλά 	0.667
φάγκο α 	0.462
fagot και 	0.556
κώλο 	0.667
σκατά 	0.556
Fagot για 	0.7709999999999999
fagot smh 	0.667
φαντάζομαι αυτό 	0.5329999999999999
fagots και 	0.5
αστεία 	0.583
Fagots συνήθως 	0.667
φίλοι που 	0.9009999999999999
οι φίλοι είναι 	0.778
fuckin faggotfucking fagot 	0.5
γαμημένο γκέι 	0.667
γαμημένο μίσος 	0.667
γαμημένος ψεύτης 	
γαμημένο παράξενο 	0.636
γκέι κώλο 	0.5
βιάσου 	0.685
μισώ όλα 	0.8
μίσος 	0.778
μισώ το λίπος 	0.48100000000000004
σε μισώ 	0.7879999999999999
ορίστε εδώ 	0.556
είναι λευκό 	0.912
λαγουδάκι ζούγκλας 	0.667
σκότωσε όλους 	0.6629999999999999
σκοτωθείτε 	0.5710000000000001
μικρός φίλος 	0.667
πολλοί συμπιεστές 	0.667
παντρεμένος με 	0.667
εγώ φίλε 	0.667
κόον μου 	0.667
Νίγκα ρωτάω 	0.708
όπως το niggas 	0.5329999999999999
αυχενικός κώλος 	0.5
ο ψαράς είναι 	0.6
συμπαθητική μουσική 	0.556
γίγαντες είναι 	0.556
των φαντασμάτων 	0.667
λευκού 	0.6
βιασμός και 	0.75
βιάστηκε από 	0.633
ψαράς άμμου 	0.69
άγριο αυτό 	0.588
κοντή σκύλα 	0.556
ψαλίδι δόρυ 	0.763
spic αστυνομικός 	0.667
ηλίθιος ψεύτης 	0.667
αυτή η κόλαση 	0.583
αυτός ο φίλος 	0.667
αυτός ο ψεύτης 	0.778
οι φίλοι 	0.667
η γυναίκα 	0.5
οι συμπαθητές 	0.542
τα κεφάλια τους 	0.6
τους λευκούς 	0.667
τότε ο Φάγκοτ 	0.642
αυτός ο ψεύτης 	0.778
για βιασμό 	0.6
πάρκο ρυμουλκών 	0.5
σκουπίδια με 	0.5
σκατά 	0.889
άσχημο ανάχωμα 	0.667
ψηλός 	0.5
λευκό κώλο 	0.667
λευκό αγόρι 	0.5
λευκό άτομο 	0.667
λευκά σκουπίδια 	0.77
με niggas 	0.556
μαλάκα 	0.556
είσαι συμπιεστής 	0.583
εσείς ψαράδες 	0.507
ο φίλος σου 	0.5
ο ψαράς σου 	0.611
μια σκύλα φτιαγμένη 	0.8270000000000001
μια μόδα και 	0.755
μια μόδα αλλά 	0.667
ένας φίλος και 	0.556
ένας φίλος για 	0.5329999999999999
ένα γαμημένο παράξενο 	0.6
μια ερώτηση nigga 	0.556
ένα λευκό πρόσωπο 	0.583
ένα λευκό σκουπίδια 	0.583
όλα αυτά τα γαμημένα 	0.778
είναι όλα λευκά 	0.556
να σκοτωθεί η μπίντζαχ 	0.778
φίλοι σαν εσένα 	0.6
συνήθως οι fagots 	0.667
σκατά από εδώ 	0.75
σκατά μιλάς 	0.5710000000000001
σκατά επίσης 	0.5329999999999999
σκατά 	0.905
γεμάτο λευκό 	0.778
ένα nigga 	0.778
η κοντή σκύλα του 	0.667
πόσα γίγαντες 	0.556
είναι μια μόδα 	0.725
είναι ένας φίλος 	0.792
είναι σκατά 	0.556
είναι γαμημένο 	0.667
είναι ένας ψεύτης 	0.75
σαν φανταστής 	0.75
σαν da χρωματισμένο 	0.47600000000000003
πολλοί συμπαθητικοί είναι 	0.667
Νίγκα και του 	0.799
γίγαντες είναι μέσα 	0.556
λευκών σκουπιδιών 	0.632
ησυχός 	0.556
εξακολουθεί να είναι ένας φίλος 	0.7140000000000001
ο μεγαλύτερος φίλος 	0.556
οι φίλοι που 	0.7140000000000001
το σκατά 	0.6
όλοι φαίνονται 	0.785
τι φαντασία 	0.583
λευκή σκύλα μέσα 	0.556
λευκά σκουπίδια και 	0.556
είσαι φανταχτερός 	0.556
είσαι κουτσός 	0.778
εσείς ένας ψεύτης 	0.556
σκατά πνεύμα 	0.556
σκατά 	0.667
είσαι μουνί 	0.778
είσαι βρώμικος 	0.467
η σκύλα σου 	0.467
ένα σκύλα φτιαγμένο από nigga 	0.556
ένας κουτσός nigga εσύ 	0.583
Φαγώ αν ποτέ 	0.667
γεμάτο λευκά σκουπίδια 	0.87
πόσα γίγαντες είναι 	0.467
είναι γεμάτο λευκό 	0.5329999999999999
lame nigga σας 	0.556
πολλοί συμπιεστές είναι 	0.467
nigga σ 'έναν κουτσό 	0.867
ψαράδες είναι στο δικό μου 	0.75
με ένα κουτσό nigga 	0.792
είσαι κουτσός σκύλα 	0.556
σκατά με ένα 	0.7140000000000001
